Key,Bestiary Index,First Monster,Second Monster,Fusion Name,Basis for Type,Attack Kind,Physicality,Target,Base Power,Status Type,Status Effect
Adeptile_Pombomb,15964,Adeptile,Pombomb,Adeptbomb,First,Wheel,Melee,Team,112,Debuff Target,Unitarget
Adeptile_Pondwalker,15962,Adeptile,Pondwalker,Adeptwalker,First,Beam,Ranged,Single,200,Debuff Target,AP Drain
Adeptile_Puppercut,15899,Adeptile,Puppercut,Adeptcut,Second,Axe,Melee,Single,200,Buff Self,Evasion Up
Adeptile_Pyromeleon,15920,Adeptile,Pyromeleon,Adeptmeleon,Second,Beam,Ranged,Single,200,Debuff Target,Conductive
Adeptile_Queenyx,15955,Adeptile,Queenyx,Adeptnyx,Second,Axe,Melee,Single,200,Debuff Target,Confused
Adeptile_Ramtasm,15881,Adeptile,Ramtasm,Adepttasm,Second,Sword,Melee,Single,200,Debuff Target,Bomb
Adeptile_Ratcousel,15922,Adeptile,Ratcousel,Adeptcousel,First,Wheel,Melee,Team,112,Debuff Target,Melee Defence Down
Adeptile_Regensea,15948,Adeptile,Regensea,Adeptsea,Second,Arrow,Ranged,Single,200,Buff Self,Multitarget
Adeptile_Ripterra,15863,Adeptile,Ripterra,Adeptterra,First,Fist,Melee,Team,112,Debuff Target,Resonance
Adeptile_Robindam,15910,Adeptile,Robindam,Adeptdam,First,Spikes,Ranged,Single,200,Debuff Target,Bomb
Adeptile_Rockertrice,15961,Adeptile,Rockertrice,Adepttrice,First,Spikes,Ranged,Single,200,Buff Self,Evasion Up
Adeptile_Rosehood,-1,Adeptile,Rosehood,Adepthood,Second,Fist,Melee,Team,150,Buff Self,Multistrike
Adeptile_Salamagus,15919,Adeptile,Salamagus,Adeptmagus,First,Fist,Melee,Team,112,Debuff Target,Melee Defence Down
Adeptile_Sanzatime,15917,Adeptile,Sanzatime,Adepttime,Second,Bomb,Ranged,Team,112,Debuff Target,Evasion Down
Adeptile_Scampire,15865,Adeptile,Scampire,Adeptpire,Second,Blast,Melee,Single,200,Debuff Target,Ranged Attack Down
Adeptile_Scarleteeth,-1,Adeptile,Scarleteeth,Adeptteeth,First,Sword,Melee,Single,200,Buff Self,AP Boost
Adeptile_Scubalrus,15906,Adeptile,Scubalrus,Adeptbalrus,Second,Beam,Ranged,Single,200,Buff Self,Melee Attack Up
Adeptile_Sharktanker,15963,Adeptile,Sharktanker,Adepttanker,First,Shards,Ranged,Team,112,Debuff Target,Unitarget
Adeptile_Shining Kuneko,15971,Adeptile,Shining Kuneko,Adept-kuneko,Second,Smash,Melee,Team,112,Debuff Target,Bomb
Adeptile_Sirenade,15884,Adeptile,Sirenade,Adeptnade,First,Fist,Melee,Team,112,Debuff Target,Glass Bonds
Adeptile_Skelevangelist,15953,Adeptile,Skelevangelist,Adeptvangelist,First,Bomb,Ranged,Team,150,Buff Self,Ranged Attack Up
Adeptile_Smogmagog,15957,Adeptile,Smogmagog,Adeptmagog,First,Bomb,Ranged,Team,112,Debuff Target,Poisoned
Adeptile_Snoopin,15864,Adeptile,Snoopin,Adeptpin,First,Bomb,Ranged,Team,150,Buff Self,Evasion Up
Adeptile_Southpaw,15900,Adeptile,Southpaw,Adeptpaw,First,Wheel,Melee,Team,150,Buff Self,Multistrike
Adeptile_Sparktan,15968,Adeptile,Sparktan,Adepttan,First,Wheel,Melee,Team,112,Debuff Target,Unitarget
Adeptile_Spirouette,15947,Adeptile,Spirouette,Adeptette,Second,Sword,Melee,Single,200,Debuff Target,Poisoned
Adeptile_Spitzfyre,15965,Adeptile,Spitzfyre,Adeptfyre,Second,Beam,Ranged,Single,200,Debuff Target,Resonance
Adeptile_Spooki-onna,15975,Adeptile,Spooki-onna,Adept-onna,First,Bomb,Ranged,Team,150,Buff Self,Melee Defence Up
Adeptile_Springheel,15861,Adeptile,Springheel,Adeptheel,First,Beam,Ranged,Single,200,Debuff Target,Melee Attack Down
Adeptile_Squirey,15894,Adeptile,Squirey,Adeptrey,First,Spikes,Ranged,Single,200,Buff Self,Cottoned On
Adeptile_Stardigrade,15938,Adeptile,Stardigrade,Adeptgrade,First,Wheel,Melee,Team,150,Buff Self,Healing Steam
Adeptile_Terracooka,15936,Adeptile,Terracooka,Adeptcooka,Second,Bomb,Ranged,Team,112,Debuff Target,Flinched
Adeptile_Thwackalope,15911,Adeptile,Thwackalope,Adeptlope,Second,Smash,Melee,Team,112,Debuff Target,Glass Bonds
Adeptile_Tokusect,15893,Adeptile,Tokusect,Adeptsect,First,Arrow,Ranged,Single,200,Debuff Target,AP Drain
Adeptile_Traffikrab,15871,Adeptile,Traffikrab,Adeptkrab,Second,Shards,Ranged,Team,150,Buff Self,Multitarget
Adeptile_Trapwurm,15984,Adeptile,Trapwurm,Adeptwurm,First,Smash,Melee,Team,150,Buff Self,Multitarget
Adeptile_Triphinx,15914,Adeptile,Triphinx,Adeptphinx,Second,Smash,Melee,Team,112,Debuff Target,Melee Attack Down
Adeptile_Twirligig,15944,Adeptile,Twirligig,Adeptgig,Second,Smash,Melee,Team,112,Debuff Target,Unitarget
Adeptile_Umbrahella,-1,Adeptile,Umbrahella,Adepthella,Second,Bomb,Ranged,Team,112,Debuff Target,Shrapnel
Adeptile_Undyin,15974,Adeptile,Undyin,Adeptdyin,First,Arrow,Ranged,Single,200,Buff Self,Healing Leaf
Adeptile_Velocirifle,15902,Adeptile,Velocirifle,Adeptrifle,First,Bomb,Ranged,Team,112,Debuff Target,Ranged Attack Down
Adeptile_Vendemon,15877,Adeptile,Vendemon,Adeptdemon,First,Blast,Melee,Single,200,Buff Self,Mind-Meld
Adeptile_Weevilite,15872,Adeptile,Weevilite,Adeptlite,Second,Beam,Ranged,Single,200,Debuff Target,Resonance
Adeptile_Wingloom,15891,Adeptile,Wingloom,Adeptgloom,Second,Blast,Melee,Single,200,Buff Self,Speed Up
Adeptile_Wooltergeist,15880,Adeptile,Wooltergeist,Adepttergeist,Second,Arrow,Ranged,Single,200,Debuff Target,Confused
Adeptile_Wyrmaw,15985,Adeptile,Wyrmaw,Adeptmaw,First,Wheel,Melee,Team,112,Debuff Target,Glass Bonds
Adeptile_Zeustrike,15969,Adeptile,Zeustrike,Adeptstrike,First,Beam,Ranged,Single,200,Debuff Target,Shrapnel
Adeptile_Zombleat,15882,Adeptile,Zombleat,Adeptbleat,First,Smash,Melee,Team,150,Buff Self,Melee Attack Up
Adeptile_Magikrab,15860,Adeptile,Magikrab,Adeptkrab,First,Beam,Ranged,Single,200,Debuff Target,Berserk
Aeroboros_Adeptile,1293,Aeroboros,Adeptile,Aerotile,First,Spikes,Ranged,Single,200,Debuff Target,Confused
Aeroboros_Aeroboros,1180,Aeroboros,Aeroboros,Giga Aeroboros,Second,Arrow,Ranged,Single,200,Buff Self,Melee Attack Up
Aeroboros_Allseer,1222,Aeroboros,Allseer,Aeroseer,Second,Shards,Ranged,Team,112,Debuff Target,Unitarget
Aeroboros_Amphare,-1,Aeroboros,Amphare,Aerohare,First,Wheel,Melee,Team,112,Debuff Target,Melee Defence Down
Aeroboros_Anathema,1290,Aeroboros,Anathema,Aerothema,Second,Wheel,Melee,Team,150,Buff Self,Mind-Meld
Aeroboros_Apocrowlypse,1218,Aeroboros,Apocrowlypse,Aerocrowlypse,Second,Bomb,Ranged,Team,150,Buff Self,Accuracy Up
Aeroboros_Arkidd,1283,Aeroboros,Arkidd,Aerokidd,Second,Bomb,Ranged,Team,150,Buff Self,Healing Leaf
Aeroboros_Artillerex,1213,Aeroboros,Artillerex,Aerorex,Second,Beam,Ranged,Single,200,Debuff Target,Flinched
Aeroboros_Auriclaw,1297,Aeroboros,Auriclaw,Aeroclaw,Second,Fist,Melee,Team,150,Buff Self,Healing Steam
Aeroboros_Averevoir,1287,Aeroboros,Averevoir,Aerorevoir,First,Wheel,Melee,Team,112,Debuff Target,Glass Bonds
Aeroboros_Bansheep,1189,Aeroboros,Bansheep,Aerosheep,Second,Blast,Melee,Single,200,Buff Self,Parry Stance
Aeroboros_Beanstalker,1260,Aeroboros,Beanstalker,Aerostalker,Second,Beam,Ranged,Single,200,Debuff Target,Berserk
Aeroboros_Pawper,1299,Aeroboros,Pawper,Aeroper,Second,Axe,Melee,Single,200,Buff Self,Speed Up
Aeroboros_Pawprince,1300,Aeroboros,Pawprince,Aeroprince,Second,Shards,Ranged,Team,112,Debuff Target,Flinched
Aeroboros_Binterloper,1253,Aeroboros,Binterloper,Aeroloper,Second,Smash,Melee,Team,150,Buff Self,Mind-Meld
Aeroboros_Binvader,1252,Aeroboros,Binvader,Aerovader,Second,Axe,Melee,Single,200,Debuff Target,Flinched
Aeroboros_Blossomaw,1197,Aeroboros,Blossomaw,Aeromaw,First,Smash,Melee,Team,112,Debuff Target,Shrapnel
Aeroboros_Blunderbusk,-1,Aeroboros,Blunderbusk,Aerobusk,Second,Arrow,Ranged,Single,200,Buff Self,Healing Steam
Aeroboros_Boltam,1241,Aeroboros,Boltam,Aerotam,Second,Beam,Ranged,Single,200,Debuff Target,Sleep
Aeroboros_Braxsuit,1225,Aeroboros,Braxsuit,Aerosuit,First,Axe,Melee,Single,200,Debuff Target,Conductive
Aeroboros_Brushroom,1239,Aeroboros,Brushroom,Aeroroom,First,Blast,Melee,Single,200,Buff Self,Mind-Meld
Aeroboros_Bulletino,1211,Aeroboros,Bulletino,Aerotino,First,Sword,Melee,Single,200,Debuff Target,Conductive
Aeroboros_Burnace,1266,Aeroboros,Burnace,Aeroace,First,Bomb,Ranged,Team,112,Debuff Target,Conductive
Aeroboros_Busheye,1243,Aeroboros,Busheye,Aerosheye,First,Beam,Ranged,Single,200,Debuff Target,Ranged Defence Down
Aeroboros_Candevil,1184,Aeroboros,Candevil,Aerodevil,First,Shards,Ranged,Team,150,Buff Self,Speed Up
Aeroboros_Capricorpse,1193,Aeroboros,Capricorpse,Aerocorpse,First,Bomb,Ranged,Team,112,Debuff Target,Berserk
Aeroboros_Carniviper,1176,Aeroboros,Carniviper,Aeroviper,Second,Bomb,Ranged,Team,112,Debuff Target,Shrapnel
Aeroboros_Cat-5,1208,Aeroboros,Cat-5,Aero-5,Second,Fist,Melee,Team,112,Debuff Target,Ranged Defence Down
Aeroboros_Charlequin,-1,Aeroboros,Charlequin,Aeroquin,Second,Beam,Ranged,Single,200,Buff Self,Healing Steam
Aeroboros_Clocksley,1219,Aeroboros,Clocksley,Aerosley,Second,Arrow,Ranged,Single,200,Buff Self,Melee Attack Up
Aeroboros_Cluckabilly,1270,Aeroboros,Cluckabilly,Aerobilly,Second,Axe,Melee,Single,200,Debuff Target,Shrapnel
Aeroboros_Coaldron,1247,Aeroboros,Coaldron,Aerodron,Second,Meteor,Ranged,Team,112,Debuff Target,Sleep
Aeroboros_Cryoshear,1277,Aeroboros,Cryoshear,Aeroshear,Second,Beam,Ranged,Single,200,Debuff Target,Melee Defence Down
Aeroboros_Dandylion,1196,Aeroboros,Dandylion,Aerolion,Second,Smash,Melee,Team,150,Buff Self,Cottoned On
Aeroboros_Decibelle,1195,Aeroboros,Decibelle,Aerobelle,First,Fist,Melee,Team,150,Buff Self,Parry Stance
Aeroboros_Diveal,1215,Aeroboros,Diveal,Aeroveal,First,Beam,Ranged,Single,200,Buff Self,Contact Dmg
Aeroboros_Diveberg,1292,Aeroboros,Diveberg,Aeroberg,Second,Arrow,Ranged,Single,200,Buff Self,Multitarget
Aeroboros_Djinn Entonic,1282,Aeroboros,Djinn Entonic,Aeroentonic,First,Axe,Melee,Single,200,Buff Self,Healing Leaf
Aeroboros_Dominoth,1200,Aeroboros,Dominoth,Aeronoth,Second,Beam,Ranged,Single,200,Debuff Target,AP Drain
Aeroboros_Draculeaf,1261,Aeroboros,Draculeaf,Aeroleaf,First,Spikes,Ranged,Single,200,Buff Self,Ranged Attack Up
Aeroboros_Elfless,1236,Aeroboros,Elfless,Aeroless,Second,Smash,Melee,Team,112,Debuff Target,Ranged Defence Down
Aeroboros_Faerious,1238,Aeroboros,Faerious,Aerorious,Second,Smash,Melee,Team,150,Buff Self,Contact Dmg
Aeroboros_Faucetear,1268,Aeroboros,Faucetear,Aerotear,Second,Bomb,Ranged,Team,150,Buff Self,Multitarget
Aeroboros_Ferriclaw,1296,Aeroboros,Ferriclaw,Aeroclaw,Second,Spikes,Ranged,Single,200,Debuff Target,Flinched
Aeroboros_Flapwoods,1226,Aeroboros,Flapwoods,Aerowoods,Second,Fist,Melee,Team,150,Buff Self,Contact Dmg
Aeroboros_Folklord,1199,Aeroboros,Folklord,Aerolord,First,Arrow,Ranged,Single,200,Buff Self,Ranged Defence Up
Aeroboros_Fortiwinx,1228,Aeroboros,Fortiwinx,Aerowinx,Second,Fist,Melee,Team,150,Buff Self,Multistrike
Aeroboros_Fountess,1269,Aeroboros,Fountess,Aerotess,Second,Meteor,Ranged,Team,112,Debuff Target,Shrapnel
Aeroboros_Fragliacci,-1,Aeroboros,Fragliacci,Aeroliacci,First,Beam,Ranged,Single,200,Buff Self,Melee Attack Up
Aeroboros_Frillypad,1234,Aeroboros,Frillypad,Aeropad,First,Axe,Melee,Single,200,Debuff Target,AP Drain
Aeroboros_Fungogh,1240,Aeroboros,Fungogh,Aerogogh,First,Smash,Melee,Team,112,Debuff Target,Burned
Aeroboros_Galagor,1249,Aeroboros,Galagor,Aerogor,Second,Meteor,Ranged,Team,150,Buff Self,Healing Leaf
Aeroboros_Gearyu,1214,Aeroboros,Gearyu,Aeroryu,Second,Wheel,Melee,Team,150,Buff Self,AP Boost
Aeroboros_Glaistain,1288,Aeroboros,Glaistain,Aerostain,Second,Blast,Melee,Single,200,Debuff Target,Evasion Down
Aeroboros_Grampus,1237,Aeroboros,Grampus,Aeropus,First,Arrow,Ranged,Single,200,Buff Self,Multitarget
Aeroboros_Gumbaal,1188,Aeroboros,Gumbaal,Aerobaal,First,Fist,Melee,Team,112,Debuff Target,Bomb
Aeroboros_Hauntome,-1,Aeroboros,Hauntome,Aerotome,First,Beam,Ranged,Single,200,Buff Self,Cottoned On
Aeroboros_Hedgeherne,1245,Aeroboros,Hedgeherne,Aeroherne,Second,Spikes,Ranged,Single,200,Buff Self,Melee Defence Up
Aeroboros_Hopskin,1172,Aeroboros,Hopskin,Aeroskin,First,Beam,Ranged,Single,200,Debuff Target,Melee Defence Down
Aeroboros_Huntorch,1244,Aeroboros,Huntorch,Aerotorch,Second,Beam,Ranged,Single,200,Debuff Target,Conductive
Aeroboros_Icepeck,1276,Aeroboros,Icepeck,Aeropeck,Second,Beam,Ranged,Single,200,Buff Self,AP Boost
Aeroboros_Jellyton,1256,Aeroboros,Jellyton,Aeroton,Second,Bomb,Ranged,Team,150,Buff Self,Multistrike
Aeroboros_Jormungold,1178,Aeroboros,Jormungold,Aerogold,First,Sword,Melee,Single,200,Buff Self,Multitarget
Aeroboros_Jumpkin,1259,Aeroboros,Jumpkin,Aerokin,First,Wheel,Melee,Team,112,Debuff Target,Unitarget
Aeroboros_Khepri,1286,Aeroboros,Khepri,Aeropri,First,Blast,Melee,Single,200,Buff Self,Mind-Meld
Aeroboros_Khufo,1223,Aeroboros,Khufo,Aerofo,Second,Fist,Melee,Team,112,Debuff Target,Shrapnel
Aeroboros_Kingrave,1264,Aeroboros,Kingrave,Aerograve,First,Smash,Melee,Team,150,Buff Self,Healing Leaf
Aeroboros_Kirikuri,1255,Aeroboros,Kirikuri,Aerokuri,Second,Beam,Ranged,Single,200,Buff Self,Multitarget
